year_month;uf;product;unit;volume;created_at
'2013MAI;PARÁ;ÓLEO DIESEL S-10;m3;33519,88;2023-10-20 14:46:16.368086'
'2013JUN;PARÁ;ÓLEO DIESEL S-10;m3;34321,53;2023-10-20 14:46:16.368086'
'2013JUL;PARÁ;ÓLEO DIESEL S-10;m3;37168,16;2023-10-20 14:46:16.368086'
'2013AGO;PARÁ;ÓLEO DIESEL S-10;m3;41248,336;2023-10-20 14:46:16.368086'
'2013SET;PARÁ;ÓLEO DIESEL S-10;m3;40913,48;2023-10-20 14:46:16.368086'
'2013OUT;PARÁ;ÓLEO DIESEL S-10;m3;45383,5;2023-10-20 14:46:16.368086'
'2013NOV;PARÁ;ÓLEO DIESEL S-10;m3;44013,219;2023-10-20 14:46:16.368086'
'2013DEZ;PARÁ;ÓLEO DIESEL S-10;m3;41975,03;2023-10-20 14:46:16.368086'
'2013JAN;AMAPÁ;ÓLEO DIESEL S-10;m3;252,5;2023-10-20 14:46:16.368086'
'2013FEV;AMAPÁ;ÓLEO DIESEL S-10;m3;223;2023-10-20 14:46:16.368086'
'2013MAR;AMAPÁ;ÓLEO DIESEL S-10;m3;348;2023-10-20 14:46:16.368086'
'2013ABR;AMAPÁ;ÓLEO DIESEL S-10;m3;456,5;2023-10-20 14:46:16.368086'
'2013MAI;AMAPÁ;ÓLEO DIESEL S-10;m3;420;2023-10-20 14:46:16.368086'
'2013JUN;AMAPÁ;ÓLEO DIESEL S-10;m3;507,5;2023-10-20 14:46:16.368086'
'2013JUL;AMAPÁ;ÓLEO DIESEL S-10;m3;488,5;2023-10-20 14:46:16.368086'
'2013AGO;AMAPÁ;ÓLEO DIESEL S-10;m3;683,948;2023-10-20 14:46:16.368086'
'2013SET;AMAPÁ;ÓLEO DIESEL S-10;m3;748;2023-10-20 14:46:16.368086'
'2013OUT;AMAPÁ;ÓLEO DIESEL S-10;m3;785;2023-10-20 14:46:16.368086'
'2013NOV;AMAPÁ;ÓLEO DIESEL S-10;m3;891;2023-10-20 14:46:16.368086'
'2013DEZ;AMAPÁ;ÓLEO DIESEL S-10;m3;757,5;2023-10-20 14:46:16.368086'
'2013JAN;TOCANTINS;ÓLEO DIESEL S-10;m3;6365;2023-10-20 14:46:16.368086'
'2013FEV;TOCANTINS;ÓLEO DIESEL S-10;m3;6800,9;2023-10-20 14:46:16.368086'
'2013MAR;TOCANTINS;ÓLEO DIESEL S-10;m3;8866,4;2023-10-20 14:46:16.368086'
'2013ABR;TOCANTINS;ÓLEO DIESEL S-10;m3;9866,334;2023-10-20 14:46:16.368086'
'2013MAI;TOCANTINS;ÓLEO DIESEL S-10;m3;10062,5;2023-10-20 14:46:16.368086'
'2013JUN;TOCANTINS;ÓLEO DIESEL S-10;m3;10839,5;2023-10-20 14:46:16.368086'
'2013JUL;TOCANTINS;ÓLEO DIESEL S-10;m3;11771,7;2023-10-20 14:46:16.368086'
'2013AGO;TOCANTINS;ÓLEO DIESEL S-10;m3;13840,95;2023-10-20 14:46:16.368086'
'2013SET;TOCANTINS;ÓLEO DIESEL S-10;m3;13649,2;2023-10-20 14:46:16.368086'
'2013OUT;TOCANTINS;ÓLEO DIESEL S-10;m3;16054,1;2023-10-20 14:46:16.368086'
'2013NOV;TOCANTINS;ÓLEO DIESEL S-10;m3;15571,4;2023-10-20 14:46:16.368086'
'2013DEZ;TOCANTINS;ÓLEO DIESEL S-10;m3;14754,1;2023-10-20 14:46:16.368086'
'2013JAN;MARANHÃO;ÓLEO DIESEL S-10;m3;8896,45;2023-10-20 14:46:16.368086'
'2013FEV;MARANHÃO;ÓLEO DIESEL S-10;m3;8362,806;2023-10-20 14:46:16.368086'
'2013MAR;MARANHÃO;ÓLEO DIESEL S-10;m3;9988;2023-10-20 14:46:16.368086'
'2013ABR;MARANHÃO;ÓLEO DIESEL S-10;m3;11424,5;2023-10-20 14:46:16.368086'
'2013MAI;MARANHÃO;ÓLEO DIESEL S-10;m3;12254;2023-10-20 14:46:16.368086'
'2013JUN;MARANHÃO;ÓLEO DIESEL S-10;m3;12974;2023-10-20 14:46:16.368086'
'2013JUL;MARANHÃO;ÓLEO DIESEL S-10;m3;15360,307;2023-10-20 14:46:16.368086'
'2013AGO;MARANHÃO;ÓLEO DIESEL S-10;m3;16496;2023-10-20 14:46:16.368086'
'2013SET;MARANHÃO;ÓLEO DIESEL S-10;m3;16496,8;2023-10-20 14:46:16.368086'
'2013OUT;MARANHÃO;ÓLEO DIESEL S-10;m3;19823;2023-10-20 14:46:16.368086'
'2013NOV;MARANHÃO;ÓLEO DIESEL S-10;m3;19972;2023-10-20 14:46:16.368086'
'2013DEZ;MARANHÃO;ÓLEO DIESEL S-10;m3;20304;2023-10-20 14:46:16.368086'
'2013JAN;PIAUÍ;ÓLEO DIESEL S-10;m3;4048;2023-10-20 14:46:16.368086'
'2013FEV;PIAUÍ;ÓLEO DIESEL S-10;m3;3317,5;2023-10-20 14:46:16.368086'
'2013MAR;PIAUÍ;ÓLEO DIESEL S-10;m3;4626,5;2023-10-20 14:46:16.368086'
'2013ABR;PIAUÍ;ÓLEO DIESEL S-10;m3;5431,8;2023-10-20 14:46:16.368086'
'2013MAI;PIAUÍ;ÓLEO DIESEL S-10;m3;6373,25;2023-10-20 14:46:16.368086'
'2013JUN;PIAUÍ;ÓLEO DIESEL S-10;m3;6632,1;2023-10-20 14:46:16.368086'
'2013JUL;PIAUÍ;ÓLEO DIESEL S-10;m3;7815,1;2023-10-20 14:46:16.368086'
'2013AGO;PIAUÍ;ÓLEO DIESEL S-10;m3;8265,4;2023-10-20 14:46:16.368086'
'2013SET;PIAUÍ;ÓLEO DIESEL S-10;m3;8511,1;2023-10-20 14:46:16.368086'
'2013OUT;PIAUÍ;ÓLEO DIESEL S-10;m3;9648,9;2023-10-20 14:46:16.368086'
'2013NOV;PIAUÍ;ÓLEO DIESEL S-10;m3;9717,75;2023-10-20 14:46:16.368086'
'2013DEZ;PIAUÍ;ÓLEO DIESEL S-10;m3;9923,1;2023-10-20 14:46:16.368086'
'2013JAN;CEARÁ;ÓLEO DIESEL S-10;m3;56758,646;2023-10-20 14:46:16.368086'
'2013FEV;CEARÁ;ÓLEO DIESEL S-10;m3;47727,5;2023-10-20 14:46:16.368086'
'2013MAR;CEARÁ;ÓLEO DIESEL S-10;m3;46672,338;2023-10-20 14:46:16.368086'
'2013ABR;CEARÁ;ÓLEO DIESEL S-10;m3;47724,922;2023-10-20 14:46:16.368086'
'2013MAI;CEARÁ;ÓLEO DIESEL S-10;m3;50888,425;2023-10-20 14:46:16.368086'
'2013JUN;CEARÁ;ÓLEO DIESEL S-10;m3;47884,145;2023-10-20 14:46:16.368086'
'2013JUL;CEARÁ;ÓLEO DIESEL S-10;m3;52901,601;2023-10-20 14:46:16.368086'
'2013AGO;CEARÁ;ÓLEO DIESEL S-10;m3;51586,778;2023-10-20 14:46:16.368086'
'2013SET;CEARÁ;ÓLEO DIESEL S-10;m3;54451,938;2023-10-20 14:46:16.368086'
'2013OUT;CEARÁ;ÓLEO DIESEL S-10;m3;56798,731;2023-10-20 14:46:16.368086'
'2013NOV;CEARÁ;ÓLEO DIESEL S-10;m3;55128,903;2023-10-20 14:46:16.368086'
